Timestamp,Temperature,Signal Strength,CPU Usage,RAM Usage,Storage Usage,Transfer Status

2022-12-22 19:56:10,42.9,,93.8,15.8337,85.0,1
2022-12-22 19:56:10,43.5,,90.6,20.5739,7.0,1
2022-12-22 19:56:10,45.6,,75.0,23.0935,7.0,0
2022-12-22 19:56:17,36.5,-36,68.3,22.8032,7.0,1
2023-11-20 13:19:19,44.0,-48,95.5,16.9283,7.0,0
2023-11-20 13:24:35,55.3,-47,95.5,20.8011,7.0,1
2023-11-20 13:29:36,53.7,-51,1.5999999999999943,28.7776,7.0,1
2023-11-20 13:34:37,53.7,-51,3.200000000000003,28.702,7.0,1
2023-11-20 13:39:37,54.2,-46,0.0,28.8283,7.0,1
2023-11-20 13:44:37,54.2,-57,3.200000000000003,28.7428,7.0,1
2023-11-20 13:49:38,54.8,-57,1.5999999999999943,29.5154,7.0,1
2023-11-20 13:54:38,54.8,-65,1.5999999999999943,29.4961,7.0,1
2023-11-20 13:59:38,55.3,-65,17.5,29.3127,7.0,1
2023-11-20 14:04:39,55.8,-63,1.5999999999999943,29.2749,7.0,1
2023-11-20 14:09:39,54.8,-63,1.5999999999999943,28.5947,7.0,1
2023-11-20 14:14:40,55.3,-64,1.5999999999999943,28.3916,7.0,1
2023-11-20 14:19:40,54.8,-64,1.5999999999999943,28.1622,7.0,1
2023-11-20 14:24:40,55.8,-63,1.5999999999999943,28.4551,7.0,1
2023-11-20 14:29:41,54.8,-63,1.5999999999999943,28.5943,7.0,1
2023-11-20 14:34:41,54.8,-63,0.0,28.4882,7.0,1
2023-11-20 14:39:42,54.8,-62,1.5999999999999943,28.5195,7.0,1
2023-11-20 14:44:42,55.3,-63,1.5999999999999943,28.8201,7.0,1
2023-11-20 14:49:42,57.5,-67,17.5,29.0946,7.0,1
2023-11-20 14:54:43,55.3,-63,1.5999999999999943,28.7626,7.0,1
2023-11-20 14:59:43,54.8,-62,3.200000000000003,28.3366,7.0,1
2023-11-20 15:04:44,55.3,-62,1.5999999999999943,28.2971,7.0,1
2023-11-20 15:09:44,54.8,-62,18.0,28.5401,7.0,1
2023-11-20 15:14:44,54.8,-54,1.5999999999999943,28.5698,7.0,1
2023-11-20 15:19:45,55.3,-66,1.5999999999999943,28.3392,7.0,1
2023-11-20 15:24:45,55.3,-65,1.5999999999999943,28.678,7.0,1
2023-11-20 15:29:46,55.3,-67,0.0,28.6063,7.0,1
2023-11-20 15:34:46,55.3,-67,1.5999999999999943,28.5135,7.0,1
2023-11-20 15:39:46,55.8,-66,1.5999999999999943,28.6325,7.0,1
2023-11-20 15:44:47,54.8,-68,3.200000000000003,28.6217,7.0,1
2023-11-20 15:49:47,55.8,-66,0.0,28.6926,7.0,1
2023-11-20 15:54:47,55.8,-66,1.7000000000000028,29.0654,7.0,1
2023-11-20 15:59:48,55.8,-48,3.200000000000003,28.9052,7.0,1
2023-11-20 16:04:48,55.8,-44,0.0,29.0185,7.0,1
2023-11-20 16:09:49,55.8,-67,0.0,29.0044,7.0,1
2023-11-20 16:14:49,55.8,-69,0.0,28.7832,7.0,1
